obs	sector	hdd	choice	conv_year	house_type	constr_year	nb_rooms	nb_pers	own_rent	surface	age	income	op_cost.1	op_cost.2	op_cost.3	op_cost.4	op_cost.5	op_cost.6	op_cost.7	op_cost.8	op_cost.9	fix_cost.1	fix_cost.2	fix_cost.3	fix_cost.4	fix_cost.5	fix_cost.6	fix_cost.7	fix_cost.8	fix_cost.9	cost_inc1	cost_inc2	cost_inc3	cost_inc4	cost_inc5	cost_inc6	cost_inc7	cost_inc8	cost_inc9	avail.1	avail.2	avail.3	avail.4	avail.5	avail.6	avail.7	avail.8	avail.9
39	4	4.359	3	5	2	4	8	5	1	1.25	4.2	7.5	1.718305	1.758743	1.706933	1.961544	2.337435	2.227	1.884247	1.415256	1.767	0.859461	0.846558	1.495525	1.366493	0.859131	0.730099	0.295832	0.569588	0.664414	6.44596	6.349185	11.21644	10.2487	6.443484	5.475742	2.218739	4.271908	4.983102	1	1	1	1	1	1	1	1	1
40	4	4.359	3	6	2	4	6	3	1	1.75	6.2	3.75	0	0	1.337139	1.58516	1.858928	1.795879	1.527432	1.160114	1.435603	0	0	1.146221	0.933318	0.955905	0.743002	0.276348	0.582491	0.677317	0	0	4.298328	3.499941	3.584646	2.786258	1.036306	2.184341	2.539938	0	0	1	1	1	1	1	1	1
41	4	4.359	3	5	2	6	8	5	1	3.25	3.8	3.75	1.849936	1.878786	1.818152	2.078742	2.481574	2.363336	1.973826	1.481485	1.850741	0.872365	0.859461	1.592299	1.379396	0.955905	0.743002	0.308735	0.582491	0.677317	3.271367	3.22298	5.971122	5.172735	3.584646	2.786258	1.157756	2.184341	2.539938	1	1	1	1	1	1	1	1	1
42	4	4.359	3	5	2	4	6	3	1	1.25	6.2	4.5	0	0	1.261614	1.500917	1.772695	1.710889	1.433233	1.053313	1.338253	0	0	1.618106	1.385848	0.981712	0.749454	0.2828	0.588943	0.683768	0	0	7.281475	6.236314	4.417704	3.372542	1.272599	2.650241	3.076958	0	0	1	1	1	1	1	1	1
43	4	4.359	3	7	2	4	8	4	1	1.25	5.3	2.75	0	0	1.548304	1.812296	2.155619	2.066313	1.729965	1.269737	1.614908	0	0	1.592299	1.379396	0.955905	0.743002	0.308735	0.582491	0.677317	0	0	4.378823	3.793339	2.62874	2.043256	0.8490215	1.60185	1.862621	0	0	1	1	1	1	1	1	1
44	4	4.359	3	7	2	6	9	5	1	3.25	4.8	7.5	0	0	1.777753	2.048839	2.45458	2.341835	1.930052	1.409559	1.799929	0	0	1.618106	1.385848	0.981712	0.749454	0.33138	0.588943	0.683768	0	0	12.13579	10.39386	7.362839	5.620903	2.485351	4.417069	5.128263	0	0	1	1	1	1	1	1	1
45	1	4.435	3	5	2	5	7	4	1	1.25	3.8	7.5	0	0	1.950756	1.842759	2.206101	2.113507	1.774861	1.179802	1.626096	0	0	0.928083	0.71518	0.955905	0.743002	0.292542	0.582491	0.677317	0	0	6.960626	5.363852	7.169291	5.572516	2.194062	4.368682	5.079876	0	0	1	1	1	1	1	1	1
46	1	4.435	3	5	13	5	12	4	1	0.3	3.8	4.5	0	0	2.329996	2.222	2.665357	2.572764	2.114473	1.309176	1.913148	0	0	1.618106	1.385848	0.981712	0.749454	0.379961	0.588943	0.683768	0	0	7.281475	6.236314	4.417704	3.372542	1.709823	2.650241	3.076958	0	0	1	1	1	1	1	1	1
47	1	4.435	3	7	2	4	6	4	1	2.25	3.2	4.5	0	0	1.499061	1.730035	2.078827	1.986234	1.664165	1.098236	1.522683	0	0	1.618106	1.385848	0.981712	0.749454	0.2828	0.588943	0.683768	0	0	7.281475	6.236314	4.417704	3.372542	1.272599	2.650241	3.076958	0	0	1	1	1	1	1	1	1
48	1	4.435	3	6	2	5	6	2	1	1.75	5.3	4.5	0	0	1.110897	1.363587	1.63054	1.591014	1.284748	0.746587	1.150208	0	0	0.95389	0.721632	0.981712	0.749454	0.2828	0.588943	0.683768	0	0	4.292505	3.247344	4.417704	3.372542	1.272599	2.650241	3.076958	0	0	1	1	1	1	1	1	1
49	1	4.435	3	6	2	7	9	4	1	1.25	3.8	2.75	0	0	2.007407	1.894809	2.302385	2.20395	1.776513	1.075393	1.601233	0	0	1.592299	1.379396	0.955905	0.743002	0.324929	0.582491	0.677317	0	0	4.378823	3.793339	2.62874	2.043256	0.8935535	1.60185	1.862621	0	0	1	1	1	1	1	1	1
50	1	4.702	3	6	2	1	7	2	1	3.25	6.8	7.5	0	0	1.264276	1.558866	1.852439	1.812912	1.475019	0.881282	1.326584	0	0	0.390927	0.178023	0.955905	0.743002	0.292542	0.582491	0.677317	0	0	2.93195	1.335176	7.169291	5.572516	2.194062	4.368682	5.079876	0	0	1	1	1	1	1	1	1
51	4	4.604	3	7	2	6	8	5	1	1.25	4.2	7.5	0	0	1.734562	1.970316	2.400025	2.276435	1.863356	1.185786	1.693963	0	0	1.618106	1.385848	0.981712	0.749454	0.315187	0.588943	0.683768	0	0	12.13579	10.39386	7.362839	5.620903	2.3639	4.417069	5.128263	0	0	1	1	1	1	1	1	1
52	4	4.604	3	7	2	5	5	4	1	1.75	5.3	7.5	0	0	1.790086	2.070509	2.426893	2.334299	2.0369	1.51432	1.906255	0	0	1.618106	1.385848	0.981712	0.749454	0.266606	0.588943	0.683768	0	0	12.13579	10.39386	7.362839	5.620903	1.999547	4.417069	5.128263	0	0	1	1	1	1	1	1	1
53	4	4.604	3	7	3	6	6	4	1	1.25	3.8	3.75	0	0	1.341731	1.517319	1.850035	1.7516	1.436475	0.91958	1.307252	0	0	0.831309	0.702277	0.859131	0.730099	0.263445	0.569588	0.664414	0	0	3.11741	2.633539	3.221742	2.737871	0.9879184	2.135954	2.491551	0	0	1	1	1	1	1	1	1
54	4	4.604	3	5	2	6	5	2	1	1.75	6.2	7.5	0	0	1.442018	1.386964	1.6528	1.604671	1.309348	0.824933	1.188245	0	0	1.592299	1.379396	0.955905	0.743002	0.260155	0.582491	0.677317	0	0	11.94224	10.34547	7.169291	5.572516	1.95116	4.368682	5.079876	0	0	1	1	1	1	1	1	1
55	4	4.604	3	8	2	5	5	2	1	1.75	2.8	4.5	0	0	1.42533	1.372528	1.625203	1.579931	1.31589	0.851924	1.199898	0	0	1.592299	1.379396	0.955905	0.743002	0.260155	0.582491	0.677317	0	0	7.165346	6.207282	4.301574	3.34351	1.170696	2.621209	3.047926	0	0	1	1	1	1	1	1	1
56	4	4.604	3	6	2	5	5	4	1	0.8	6.2	7.5	0	0	1.437112	1.657803	1.978842	1.893385	1.605157	1.098691	1.478541	0	0	1.618106	1.385848	0.981712	0.749454	0.266606	0.588943	0.683768	0	0	12.13579	10.39386	7.362839	5.620903	1.999547	4.417069	5.128263	0	0	1	1	1	1	1	1	1
57	4	4.604	3	5	2	5	6	4	1	1.25	5.3	4.5	0	0	1.594407	1.845407	2.202148	2.109555	1.78479	1.214124	1.642124	0	0	0.928083	0.71518	0.955905	0.743002	0.276348	0.582491	0.677317	0	0	4.176376	3.218311	4.301574	3.34351	1.243567	2.621209	3.047926	0	0	1	1	1	1	1	1	1
58	4	4.604	3	7	2	6	7	4	1	1.75	3.8	4.5	1.609489	1.631443	1.572978	1.814616	2.194861	2.096426	1.716234	1.092609	1.560328	0.872365	0.859461	1.592299	1.379396	0.955905	0.743002	0.292542	0.582491	0.677317	3.92564	3.867576	7.165346	6.207282	4.301574	3.34351	1.316437	2.621209	3.047926	1	1	1	1	1	1	1	1	1
59	4	4.604	3	8	2	7	7	4	1	1.75	3.2	7.5	0	0	1.894186	1.781586	2.158823	2.060387	1.682775	1.063384	1.527927	0	0	1.592299	1.379396	0.955905	0.743002	0.292542	0.582491	0.677317	0	0	11.94224	10.34547	7.169291	5.572516	2.194062	4.368682	5.079876	0	0	1	1	1	1	1	1	1
60	4	4.604	3	6	2	6	8	5	1	1.25	4.8	2.75	0	0	1.734776	1.97136	2.402384	2.278796	1.863136	1.181333	1.692685	0	0	1.618106	1.385848	0.981712	0.749454	0.315187	0.588943	0.683768	0	0	4.44979	3.811081	2.699708	2.060998	0.8667634	1.619592	1.880363	0	0	1	1	1	1	1	1	1
61	4	4.604	3	6	2	6	7	4	1	1.75	4.2	4.5	1.699268	1.721221	2.007502	1.894904	2.275907	2.177471	1.80442	1.192508	1.651442	0.872365	0.859461	1.592299	1.379396	0.955905	0.743002	0.292542	0.582491	0.677317	3.92564	3.867576	7.165346	6.207282	4.301574	3.34351	1.316437	2.621209	3.047926	1	1	1	1	1	1	1	1	1
62	1	4.581	3	6	2	6	5	7	1	1.25	4.8	2.75	0	0	2.129108	1.930191	2.372346	2.19845	1.858498	1.30088	1.719094	0	0	0.831309	0.702277	0.859131	0.730099	0.247251	0.569588	0.664414	0	0	2.286101	1.931262	2.362611	2.007772	0.6799415	1.566366	1.827137	0	0	1	1	1	1	1	1	1
63	3	5.026	3	7	2	7	7	4	1	1.25	3.8	5.5	0	0	1.782571	1.653507	2.077424	1.963055	1.561184	1.016855	1.425102	0	0	1.049447	0.920414	0.859131	0.730099	0.279638	0.569588	0.664414	0	0	5.771956	5.062279	4.725222	4.015544	1.538011	3.132732	3.654275	0	0	1	1	1	1	1	1	1
64	3	5.026	3	7	2	5	10	5	1	3.25	4.8	7.5	0	0	2.545337	2.388627	2.973528	2.836824	2.275511	1.470506	2.07426	0	0	0.831309	0.702277	0.859131	0.730099	0.328219	0.569588	0.664414	0	0	6.23482	5.267078	6.443484	5.475742	2.461641	4.271908	4.983102	0	0	1	1	1	1	1	1	1
65	3	5.026	3	6	2	5	7	4	1	3.25	4.2	4.5	0	0	1.658518	1.919856	2.378121	2.26924	1.837993	1.219522	1.683376	0	0	0.928083	0.71518	0.955905	0.743002	0.292542	0.582491	0.677317	0	0	4.176376	3.218311	4.301574	3.34351	1.316437	2.621209	3.047926	0	0	1	1	1	1	1	1	1
66	3	5.026	3	5	2	4	5	2	1	0.8	5.8	5.5	0	0	1.089955	1.321058	1.615797	1.570955	1.256816	0.806294	1.144185	0	0	0.95389	0.721632	0.981712	0.749454	0.266606	0.588943	0.683768	0	0	5.246395	3.968975	5.399415	4.121996	1.466334	3.239184	3.760726	0	0	1	1	1	1	1	1	1
67	3	5.026	3	7	2	3	4	3	1	0.8	3.8	2.25	0	0	1.364254	1.288702	1.581005	1.515098	1.240532	0.846765	1.14209	0	0	1.618106	1.385848	0.981712	0.749454	0.250413	0.588943	0.683768	0	0	3.640738	3.118157	2.208852	1.686271	0.5634288	1.325121	1.538479	0	0	1	1	1	1	1	1	1
68	3	5.026	3	7	2	5	9	4	1	2.25	4.2	4.5	0	0	2.21982	2.095005	2.607475	2.498594	1.987046	1.253411	1.803637	0	0	1.592299	1.379396	0.955905	0.743002	0.324929	0.582491	0.677317	0	0	7.165346	6.207282	4.301574	3.34351	1.462178	2.621209	3.047926	0	0	1	1	1	1	1	1	1
69	3	5.026	3	5	2	6	6	5	1	1.25	8.4	1.25	0	0	1.648595	1.831078	2.305679	2.162087	1.738701	1.16523	1.595333	0	0	0.928083	0.71518	0.955905	0.743002	0.276348	0.582491	0.677317	0	0	1.160104	0.8939753	1.194882	0.9287528	0.3454352	0.7281136	0.8466461	0	0	1	1	1	1	1	1	1
70	3	5.026	3	6	2	2	9	2	1	1.25	7.2	2.25	0	0	1.46322	1.815651	2.229405	2.182927	1.707485	1.025631	1.537022	0	0	0.928083	0.71518	0.955905	0.743002	0.324929	0.582491	0.677317	0	0	2.088188	1.609156	2.150787	1.671755	0.7310892	1.310605	1.523963	0	0	1	1	1	1	1	1	1
71	3	5.026	3	5	2	4	8	2	1	3.25	6.2	1.75	0	0	1.454864	1.777843	2.169284	2.11605	1.6898	1.078495	1.536974	0	0	1.172027	0.939769	0.981712	0.749454	0.315187	0.588943	0.683768	0	0	2.051048	1.644596	1.717996	1.311544	0.5515767	1.030649	1.196595	0	0	1	1	1	1	1	1	1
72	3	5.026	3	5	2	4	8	6	1	1.25	6.8	5.5	0	0	1.923609	2.182881	2.733612	2.584235	2.08638	1.372383	1.907881	0	0	0.95389	0.721632	0.981712	0.749454	0.315187	0.588943	0.683768	0	0	5.246395	3.968975	5.399415	4.121996	1.733527	3.239184	3.760726	0	0	1	1	1	1	1	1	1
73	3	5.026	3	7	2	7	5	4	1	1.75	4.8	2.25	0	0	1.353303	1.542897	1.924142	1.825687	1.461814	0.968951	1.338598	0	0	1.592299	1.379396	0.955905	0.743002	0.260155	0.582491	0.677317	0	0	3.582673	3.103641	2.150787	1.671755	0.585348	1.310605	1.523963	0	0	1	1	1	1	1	1	1
74	1	5.026	3	8	2	3	8	3	1	1.25	6.8	1.25	0	0	1.934073	1.841155	2.283287	2.202231	1.740945	1.079393	1.575557	0	0	1.592299	1.379396	0.955905	0.743002	0.308735	0.582491	0.677317	0	0	1.990374	1.724245	1.194882	0.9287528	0.3859188	0.7281136	0.8466461	0	0	1	1	1	1	1	1	1
75	1	5.342	3	6	2	3	7	1	1	1.25	6.2	3.75	0	0	1.58166	1.966716	2.325009	2.297186	1.905748	1.34437	1.765404	0	0	0.928083	0.71518	0.955905	0.743002	0.292542	0.582491	0.677317	0	0	3.480313	2.681926	3.584646	2.786258	1.097031	2.184341	2.539938	0	0	1	1	1	1	1	1	1
